20190404,HongShang1,HongShang1-pm,LivePnl,-4422.694785000109
20190408,HongShang1,HongShang1-pm,LivePnl,-19406.65309799989
20190409,HongShang1,HongShang1-pm,LivePnl,0.0
20190410,HongShang1,HongShang1-pm,LivePnl,0.0
20190411,HongShang1,HongShang1-pm,LivePnl,-4002.4701899999473
20190412,HongShang1,HongShang1-pm,LivePnl,7693.836414000902
20190415,HongShang1,HongShang1-pm,LivePnl,16817.97563100022
20190416,HongShang1,HongShang1-pm,LivePnl,5980.104950999509
20190417,HongShang1,HongShang1-pm,LivePnl,-3302.4894690000274
20190418,HongShang1,HongShang1-pm,LivePnl,-2825.199971999618
20190419,HongShang1,HongShang1-pm,LivePnl,-8570.422092000244
20190422,HongShang1,HongShang1-pm,LivePnl,460.9137030034926
20190423,HongShang1,HongShang1-pm,LivePnl,-3636.953130000491
20190424,HongShang1,HongShang1-pm,LivePnl,22855.678053002783
20190425,HongShang1,HongShang1-pm,LivePnl,-6035.254796997736
20190426,HongShang1,HongShang1-pm,LivePnl,2692.168958999263
20190429,HongShang1,HongShang1-pm,LivePnl,1381.3356119995924
20190430,HongShang1,HongShang1-pm,LivePnl,8918.269172999455
20190506,HongShang1,HongShang1-pm,LivePnl,19939.78757999975
20190507,HongShang1,HongShang1-pm,LivePnl,-12648.311196000299
20190508,HongShang1,HongShang1-pm,LivePnl,-673.155050999156
20190509,HongShang1,HongShang1-pm,LivePnl,8767.686824998107
20190510,HongShang1,HongShang1-pm,LivePnl,37989.4120590002
20190513,HongShang1,HongShang1-pm,LivePnl,3142.6095329987465
20190514,HongShang1,HongShang1-pm,LivePnl,-1300.1771549996229
20190515,HongShang1,HongShang1-pm,LivePnl,7843.473317995053
20190516,HongShang1,HongShang1-pm,LivePnl,-28406.507604000002
20190517,HongShang1,HongShang1-pm,LivePnl,137118.18905400467
20190520,HongShang1,HongShang1-pm,LivePnl,-103539.89681700084
20190521,HongShang1,HongShang1-pm,LivePnl,-21237.201473999645
20190522,HongShang1,HongShang1-pm,LivePnl,-2072.3022599997
20190523,HongShang1,HongShang1-pm,LivePnl,-18341.51777700071
20190524,HongShang1,HongShang1-pm,LivePnl,-23264.208150499304
20190527,HongShang1,HongShang1-pm,LivePnl,-4350.124289998689
20190528,HongShang1,HongShang1-pm,LivePnl,20648.673261000193
20190529,HongShang1,HongShang1-pm,LivePnl,16952.23197600191
20190530,HongShang1,HongShang1-pm,LivePnl,10465.09259700161
20190531,HongShang1,HongShang1-pm,LivePnl,5485.156508999918
20190603,HongShang1,HongShang1-pm,LivePnl,-8210.162145001364
20190604,HongShang1,HongShang1-pm,LivePnl,-5972.101232999946
